#ObservationID, RA, DEC
A10_094T29_9000004564, 05:22:40.5523, -69:55:23.005
A10_094T30_9000004566, 05:26:52.8199, -69:55:16.614
A10_094T31_9000004568, 05:31:04.9720, -69:54:47.865
A10_094T32_9000004570, 05:35:16.8620, -69:53:56.782
A10_094T33_9000004572, 05:39:28.3441, -69:52:43.411
A10_094T25_9000004576, 05:05:53.2625, -69:52:05.167
A10_094T28_9000004578, 05:18:28.3162, -69:55:07.032
A10_053T21_9000004592, 01:17:12.13, -32:26:58.0
A10_053T26_9000004594, 14:38:01.86, -24:58:44.7
A10_053T39_9000004596, 02:20:21.51, -10:38:09.2
A10_056T01_9000004598, 23:47:04.00, +51:42:49.00
A10_082T10_9000004602, 23:24:14.8, +58:10:54.54
A10_094T72_9000004604, 05:06:51.4157, -68:38:56.350
A10_094T73_9000004606, 05:10:48.9747, -68:40:14.562
A10_094T74_9000004612, 05:14:46.9269, -68:41:11.765
A10_094T75_9000004614, 05:18:45.1508, -68:41:47.913
A10_094T76_9000004616, 05:22:43.5239, -68:42:02.979
C06_010T02_9000004618, 00:48:19.2, 85:09:26
A10_123T01_9000004620, 13:58:19.33, 24:29:49.39
T04_026T01_9000004624, 18:57:30.95, +16:55:39.6
A10_056T01_9000004626, 23:47:04.00, +51:42:49.00
A10_094T13_9000004628, 05:07:45.0044, -70:11:07.046
A10_103T09_9000004630, 18:31:23.10, -32:20:53.1
T04_034T01_9000004632, 2:32:48.616, 20:17:17.452
T04_043T01_9000004648, 17:50:13.155, -6:42:28.397
T04_044T01_9000004652, 17:50:13.155, -6:42:28.397
A10_123T09_9000004654, 14:24:08.89, 54:15:07.98
C06_010T03_9000004658, 00:48:19.2, 85:09:26
A10_094T34_9000004662, 05:43:39.2742, -69:51:07.818
A10_094T33_9000004664, 05:39:28.3441, -69:52:43.411
A10_094T30_9000004666, 05:26:52.8199, -69:55:16.614
A10_053T11_9000004668, 20:19:53.76, -38:56:36.2
A10_053T10_9000004670, 21:47:29.24, -39:25:19.7
C06_010T03_9000004672, 00:48:19.2, 85:09:26
A10_058T12_9000004674, 01:12:59.405, +15:35:29.59
C06_010T03_9000004676, 00:48:19.2, 85:09:26
A10_053T11_9000004688, 20:19:53.76, -38:56:36.2
A09_131T01_9000004690, 07:21:53.4484, +71:20:36.363
A10_057T01_9000004692, 07:09:47, 44:24:47
A09_131T01_9000004696, 07:21:53.4484, +71:20:36.363
A10_005T01_9000004700, 16:57:49.810, 35:20:32.399
A09_131T01_9000004702, 07:21:53.4484, +71:20:36.363
A09_108T02_9000004706, 00:39:51.64, +40:21:11.3
A10_053T32_9000004710, 22:08:04.78, -15:35:27.8
A10_057T04_9000004712, 07:28:17.7, 40:46:11.3
A10_057T03_9000004714, 08:28:28.6, 41:51:27.0
T04_055T01_9000004718, 17:50:13.155, -6:42:28.397
T04_057T01_9000004720, 17:50:13.155, -6:42:28.397
A10_057T03_9000004722, 08:28:28.6, 41:51:27.0
A10_123T04_9000004726, 09:19:51.50, 45:44:00.30
A10_057T04_9000004728, 07:28:17.7, 40:46:11.3
A11_044T01_9000004732, 6:43:5.967, -74:14:10.370
C06_010T05_9000004736, 00:48:19.2, 85:09:26
A11_088T01_9000004738, 04:48:53.35, +43:16:32.09
A11_005T04_9000004742, 0:45:27.20, 41:52:58.89
A11_005T05_9000004744, 0:46:52.70, 42:12:12.40
T04_065T01_9000004750, 00:48:19.2, 85:13:26.1
A11_007T07_9000004758, 0:46:22.88, 41:32:09.42
A11_030T01_9000004760, 4:32:53.2, -13:31:22.3
A11_008T06_9000004762, 00:40:22.08, 41:41:07.1
A11_046T06_9000004764, 00:14:00.43, -23:10:03.4
A10_067T01_9000004770, 8:54:48.875, 20:6:30.640
T04_066T01_9000004772, 00:45:28.80, +41:54:10.0
A10_067T01_9000004774, 8:54:48.875, 20:6:30.640
A11_046T01_9000004776, 08:19:13.85, +70:42:43.1
A11_047T10_9000004778, 08:56:05.83, +45:05:20.0
T04_072T01_9000004780, 00:45:28.8, 41:54:10.1
A10_090T11_9000004784, 21:4:10.815, -11:21:48.582
A10_058T15_9000004786, 22:26:53.670, -30:53:10.66
A10_064T02_9000004788, 11:39:43.6, +31:55:12
A11_046T04_9000004792, 09:40:31.52, +71:11:23.2
A11_065T01_9000004794, 07:47:15.3, +51:14:09.3
A11_065T02_9000004796, 08:14:40.18, +49:03:42.1
A11_065T07_9000004798, 09:56:45.70, +28:49:35.0
A11_065T10_9000004800, 08:20:20.14, +50:00:25.2
A11_047T10_9000004802, 08:56:05.83, +45:05:20.0
A11_060T01_9000004804, 03:32:52.59, -27:50:22.63
A11_037T01_9000004806, 9:12:3.100, -64:51:45.000
A11_060T01_9000004808, 03:32:52.59, -27:50:22.63
T04_076T01_9000004810, 12:44:14.991, 17:0:49.170
A11_086T01_9000004816,10:34:38.598,+39:38:28.181
A11_037T01_9000004818,9:12:3.100,-64:51:45.000
A11_086T01_9000004820,10:34:38.598,+39:38:28.181
T04_077T01_9000004824,09:56:46.28,+28:49:15.3
A11_106T03_9000004826,10:54:44.701,48:31:39.082
A11_065T07_9000004828,09:56:45.70,+28:49:35.0
A11_065T11_9000004830,10:16:24.3,37:49:01.0
T04_089T01_9000004832,11:26:48.50,35:15:03.24
A11_046T03_9000004834,12:30:31.92,+41:41:33.8
A11_068T01_9000004836,10:47:32.8681,+12:14:59.935
A11_003T10_9000004838,4:45:42.552,-59:14:50.680
T04_090T01_9000004840,15:06:33.72,42:38:29.04
T04_091T01_9000004842,12:33:06.50,32:05:27.24
T04_088T01_9000004844,12:37:55.44,55:52:06.60
T04_088T01_9000004846,12:37:55.44,55:52:06.60
A11_046T03_9000004848,12:30:31.92,+41:41:33.8
A11_068T02_9000004850,10:47:40.2623,+12:03:50.218
T04_074T01_9000004852,5:3:6.590,25:23:19.500
A11_058T01_9000004854,07:28:54.6,69:12:56.8
A11_034T02_9000004856,4:58:51.41,28:31:23.88
A11_037T01_9000004858,9:12:3.100,-64:51:45.000
A11_034T07_9000004860,4:14:47.30,26:46:26.40
A11_046T07_9000004862,10:46:45.74,+11:49:11.8
A11_106T03_9000004864,10:54:44.701,48:31:39.082
A06_003T04_9000004866,2:27:16.879,33:34:45.012
A05_208T01_9000004870,13:4:14.38,-10:20:22.56
T04_093T01_9000004872,10:49:50.116,32:58:58.220
A11_097T08_9000004874,12:4:42.110,27:54:11.868
A11_059T05_9000004876,5:24:10.590,-24:31:27.300
A11_054T07_9000004878,15:06:33.72,42:38:29.04
A11_047T03_9000004880,14:53:31.47,+26:49:46.7
A11_047T15_9000004882,16:33:06.86,+31:06:41.0
